age,workclass,education,marital-status,occupation,relationship,hours-per-week,capital-change,income
Senior, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Young, Private, HS-grad, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Young, Private, Low-education, Never-married, Machine-op-inspct, Own-child,Over-workload,No-change, <=50K
Senior, Government, Masters, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Senior, Private, HS-grad, Separated, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Exec-managerial, Own-child,Normal-workload,No-change, <=50K
Senior, Government, Some-college, Divorced, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Young, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Young, Self-emp-inc, Bachelors, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Sales, Other-relative,Over-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Government, Masters, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Middle-age, Government, HS-grad, Divorced, Protective-serv, Own-child,Normal-workload,No-change, <=50K
Young, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried,Over-workload,No-change, <=50K
Middle-age, Government, Bachelors, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Prof-specialty, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Young, Private, Some-college, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Widowed, Adm-clerical, Unmarried,Less-workload,No-change, <=50K
Senior, Private, Low-education, Never-married, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Senior, Private, Masters, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,Capital-loss, >50K
Senior, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife,Normal-workload,No-change, >50K
Middle-age, Private, Some-college, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, <=50K
Young, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,Capital-loss, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, >50K
Senior, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Senior, Government, Masters, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Young, Private, HS-grad, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Young, Government, Some-college, Married-civ-spouse, Other-service, Husband,Less-workload,No-change, <=50K
Middle-age, Private, Bachelors, Divorced, Exec-managerial, Unmarried,Over-workload,Capital-gain, >50K
Middle-age, Government, Prof-school, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, >50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Prof-specialty, Not-in-family,Normal-workload,Capital-loss, <=50K
Young, Private, Some-college, Never-married, Exec-managerial, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Widowed, Adm-clerical, Unmarried,Over-workload,No-change, <=50K
Young, Private, HS-grad, Married-spouse-absent, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Young, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Assoc-acdm, Separated, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Middle-age, Government, Bachelors, Married-civ-spouse, Prof-specialty, Wife,Over-workload,Capital-gain, >50K
Young, Private, Low-education, Divorced, Sales, Own-child,Normal-workload,No-change, <=50K
Young, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Senior, Government, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband,Over-workload,Capital-gain, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Divorced, Other-service, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Separated, Prof-specialty, Not-in-family,Over-workload,Capital-gain, <=50K
Middle-age, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Bachelors, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Government, Bachelors, Divorced, Prof-specialty, Unmarried,Normal-workload,Capital-loss, <=50K
Middle-age, Private, Assoc-acdm, Never-married, Transport-moving, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Handlers-cleaners, Own-child,Over-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Young, Self-emp-inc, HS-grad, Never-married, Machine-op-inspct, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Other-service, Unmarried,Less-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Government, Bachelors, Divorced, Exec-managerial, Other-relative,Over-workload,No-change, <=50K
Middle-age, Government, HS-grad, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,Over-workload,No-change, >50K
Young, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Other-service, Husband,Over-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Senior, Government, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Machine-op-inspct, Wife,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Young, Self-emp-not-inc, Low-education, Divorced, Other-service, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Senior, Government, Some-college, Divorced, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Divorced, Handlers-cleaners, Own-child,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Own-child,Normal-workload,Capital-gain, >50K
Young, Private, HS-grad, Never-married, Handlers-cleaners, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Middle-age, Government, Bachelors, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Young, Private, HS-grad, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Senior, Government, Masters, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife,Over-workload,Capital-gain, >50K
Middle-age, Private, HS-grad, Divorced, Adm-clerical, Other-relative,Normal-workload,No-change, <=50K
Young, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband,Over-workload,No-change, >50K
Young, Private, Low-education, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Masters, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Middle-age, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,Capital-gain, >50K
Young, Government, HS-grad, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,Capital-gain, >50K
Middle-age, Private, HS-grad, Never-married, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Senior, Government, Some-college, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-loss, >50K
Young, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Low-education, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Other-service, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Assoc-voc, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Middle-age, Government, Masters, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Protective-serv, Own-child,Less-workload,Capital-gain, <=50K
Middle-age, Private, HS-grad, Divorced, Adm-clerical, Unmarried,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Widowed, Adm-clerical, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Private, Masters, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-loss, >50K
Young, Private, Low-education, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, HS-grad, Never-married, Farming-fishing, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife,Normal-workload,Capital-gain, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife,Less-workload,No-change, <=50K
Senior, Government, Bachelors, Married-civ-spouse, Protective-serv, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Divorced, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Prof-specialty, Unmarried,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Transport-moving, Unmarried,Normal-workload,Capital-gain, <=50K
Middle-age, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Sales, Unmarried,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Young, Private, Assoc-acdm, Never-married, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Separated, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Other-service, Wife,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Machine-op-inspct, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Married-civ-spouse, Sales, Husband,Over-workload,Capital-gain, <=50K
Young, Private, Low-education, Separated, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife,Normal-workload,No-change, >50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Young, Private, Assoc-acdm, Never-married, Other-service, Own-child,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Government, Masters, Married-spouse-absent, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,Capital-gain, >50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Low-education, Separated, Other-service, Unmarried,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Separated, Transport-moving, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-gain, >50K
Young, Private, Assoc-voc, Separated, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Sales, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife,Less-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Prof-specialty, Unmarried,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, HS-grad, Married-civ-spouse, Other-service, Wife,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Senior, Private, Low-education, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband,Over-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Transport-moving, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Divorced, Adm-clerical, Not-in-family,Normal-workload,Capital-gain, <=50K
Middle-age, Government, Assoc-voc, Never-married, Prof-specialty, Other-relative,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Young, Government, Some-college, Divorced, Protective-serv, Other-relative,Over-workload,No-change, <=50K
Middle-age, Private, Masters, Never-married, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Prof-specialty, Own-child,Less-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, Low-education, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Sales, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband,Over-workload,Capital-gain, >50K
Young, Self-emp-not-inc, Some-college, Separated, Handlers-cleaners, Own-child,Over-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Prof-specialty, Husband,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife,Less-workload,No-change, >50K
Middle-age, Private, Low-education, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child,Less-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Transport-moving, Husband,Normal-workload,Capital-loss, >50K
Middle-age, Private, Low-education, Married-spouse-absent, Other-service, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Tech-support, Husband,Normal-workload,Capital-gain, <=50K
Young, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Senior, Government, Low-education, Divorced, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Bachelors, Never-married, Prof-specialty, Not-in-family,Over-workload,Capital-gain, >50K
Middle-age, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child,Less-workload,No-change, <=50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Young, Private, Low-education, Never-married, Other-service, Other-relative,Over-workload,No-change, <=50K
Senior, Private, Low-education, Widowed, Other-service, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Government, Some-college, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,Capital-gain, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Sales, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Separated, Sales, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Sales, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Prof-specialty, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-gain, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband,Over-workload,No-change, >50K
Young, Private, Low-education, Never-married, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Government, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife,Normal-workload,Capital-gain, >50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Transport-moving, Husband,Over-workload,Capital-gain, >50K
Middle-age, Private, Some-college, Never-married, Other-service, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Husband,Over-workload,No-change, >50K
Middle-age, Government, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife,Over-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Handlers-cleaners, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Other-service, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband,Less-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Farming-fishing, Own-child,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Middle-age, Government, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Over-workload,Capital-gain, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Sales, Not-in-family,Over-workload,Capital-gain, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Tech-support, Husband,Over-workload,No-change, >50K
Young, Private, Low-education, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Middle-age, Government, Doctorate, Never-married, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Exec-managerial, Other-relative,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Middle-age, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Young, Government, Assoc-acdm, Never-married, Transport-moving, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife,Less-workload,No-change, >50K
Senior, Government, Masters, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Separated, Machine-op-inspct, Unmarried,Less-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Tech-support, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Some-college, Divorced, Tech-support, Not-in-family,Less-workload,No-change, >50K
Young, Private, Some-college, Never-married, Tech-support, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Over-workload,Capital-gain, >50K
Middle-age, Government, HS-grad, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Other-service, Other-relative,Normal-workload,No-change, <=50K
Young, Private, Low-education, Married-spouse-absent, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Craft-repair, Other-relative,Over-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Low-education, Divorced, Handlers-cleaners, Not-in-family,Over-workload,No-change, <=50K
Senior, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Transport-moving, Wife,Less-workload,No-change, >50K
Middle-age, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband,Over-workload,No-change, <=50K
Young, Self-emp-not-inc, Low-education, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Young, Private, Some-college, Divorced, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Government, Assoc-voc, Married-civ-spouse, Protective-serv, Husband,Normal-workload,Capital-gain, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child,Less-workload,No-change, <=50K
Middle-age, Government, HS-grad, Divorced, Craft-repair, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Handlers-cleaners, Own-child,Less-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, HS-grad, Never-married, Other-service, Unmarried,Normal-workload,Capital-gain, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,Capital-loss, >50K
Middle-age, Private, Low-education, Widowed, Other-service, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Divorced, Exec-managerial, Not-in-family,Less-workload,No-change, <=50K
